chin_length,directory_name,eye_angle,eye_color,eye_eyebrow_distance,eye_lashes,eye_lid,eye_slant,eyebrow_shape,eyebrow_thickness,eyebrow_weight,eyebrow_width,face_color,face_shape,facial_hair,file_name,glasses,glasses_color,hair,hair_color
0,0,2,2,1,0,1,0,7,3,0,1,8,0,6,cs11502919926067511421.png,11,4,15,6
1,0,2,2,1,1,1,0,2,2,0,2,3,5,6,cs11503227606926729000.png,11,5,66,9
1,0,0,2,1,1,0,1,2,1,1,1,1,5,5,cs1150445993016885128.png,11,1,72,6
1,0,0,0,1,0,1,1,4,3,1,1,10,1,14,cs11506065483702932238.png,11,3,95,6
2,0,2,4,1,0,0,2,10,0,0,2,5,3,11,cs11506415204256753140.png,11,2,39,4
0,0,0,2,2,1,1,0,2,2,0,0,1,2,14,cs11508106982004131726.png,11,6,60,0
0,0,1,1,2,1,0,0,8,1,1,2,1,4,14,cs11508614529794785813.png,1,3,39,9
1,0,1,0,2,0,0,2,3,1,1,2,1,6,13,cs11511528784255765755.png,11,4,37,0
0,0,1,2,0,0,0,0,8,0,1,1,8,6,0,cs11511932976292475735.png,6,1,98,6
2,0,2,1,2,1,0,0,12,0,0,1,3,1,6,cs11513774183962984755.png,11,1,108,7
1,0,1,4,0,0,1,1,11,3,1,1,8,3,14,cs11514024285076732193.png,11,2,35,9
1,0,2,2,2,1,0,0,12,0,1,0,3,3,14,cs11514186247818514691.png,1,4,59,4
0,0,1,1,2,0,1,0,11,3,1,1,5,5,14,cs11514425504367482095.png,11,3,62,3
0,0,0,2,1,0,0,0,2,3,0,2,8,2,2,cs11515938997821210335.png,11,0,100,0
2,0,0,1,0,0,1,2,4,3,0,0,5,0,14,cs11516013437952583969.png,11,5,49,4
1,0,2,0,1,1,1,1,0,1,0,2,8,2,14,cs11516022177130938215.png,11,2,75,0
2,0,2,2,0,0,1,1,8,1,1,1,5,6,14,cs11518062614961680714.png,11,2,19,0
1,0,2,2,1,0,0,1,13,3,1,1,8,6,14,cs11520304423165899709.png,11,5,79,7
2,0,1,4,0,0,0,0,3,0,0,0,3,1,14,cs11521447000813609729.png,11,1,68,7
0,0,1,2,2,0,1,1,12,3,1,1,10,6,8,cs11521541083694581540.png,11,5,25,7
0,0,1,4,1,1,0,0,7,1,0,1,8,4,4,cs11522727863187774368.png,11,0,5,3
0,0,0,3,1,1,1,1,3,3,0,2,1,3,11,cs11524061641776968852.png,1,2,7,7
0,0,2,4,0,1,1,0,6,0,1,1,1,5,7,cs11524831557846028865.png,11,0,61,9
0,0,0,2,1,0,1,1,4,2,0,1,8,2,10,cs11527550117859277486.png,11,0,41,9
1,0,1,4,2,0,0,2,10,3,1,2,8,6,1,cs11527559384792140301.png,6,1,6,6
0,0,1,2,1,1,0,2,1,1,1,1,8,0,10,cs11528060187370586471.png,11,6,28,4
1,0,2,4,1,1,1,2,10,0,0,1,3,0,11,cs11528189806276391637.png,11,4,8,3
1,0,2,0,1,1,1,0,8,2,1,1,1,2,13,cs11528230186435490527.png,11,0,53,3
0,0,1,4,1,1,0,2,9,1,1,1,8,3,4,cs11528639915927490064.png,11,1,83,6
1,0,2,0,2,0,0,0,11,3,0,2,10,2,14,cs11528944864167601066.png,11,2,48,6
0,0,0,3,0,0,0,2,5,2,0,2,10,1,9,cs11530531085631182703.png,11,2,63,4
2,0,1,1,0,0,0,1,1,2,0,0,1,2,14,cs11530548113758734479.png,11,3,91,9
1,0,2,4,0,0,0,1,1,2,1,0,8,0,14,cs11531536277483087381.png,11,2,8,4
2,0,2,2,2,0,0,1,11,3,0,2,1,3,14,cs11535095691410393682.png,11,2,63,6
1,0,1,2,2,0,0,2,2,0,0,0,1,1,11,cs11535397158385004623.png,11,3,104,6
2,0,1,0,0,0,1,1,12,2,1,1,1,4,6,cs11536350370924491714.png,11,4,67,6
2,0,2,2,0,1,1,0,10,3,0,0,3,0,1,cs11536442831301053398.png,11,3,41,9
1,0,2,0,0,1,1,1,8,3,0,2,10,4,6,cs11536588865650217756.png,11,3,56,9
1,0,1,0,2,1,0,1,2,1,0,0,1,3,3,cs11536625833133618090.png,1,4,76,0
1,0,0,4,1,1,1,2,11,3,1,0,8,3,6,cs11537809173781131447.png,11,2,0,0
1,0,1,0,0,0,1,2,7,3,1,1,8,3,2,cs11539902766061889111.png,11,4,99,3
2,0,0,3,2,1,1,0,11,2,0,1,10,1,14,cs11542212891280156083.png,11,2,77,7
1,0,1,4,1,1,0,0,3,3,0,0,1,3,14,cs11542230305110309033.png,11,2,85,0
2,0,2,4,1,0,1,0,13,2,1,1,1,4,14,cs11543317139432065602.png,11,1,2,3
2,0,1,2,0,1,1,2,10,3,1,2,3,6,14,cs11544106531116674374.png,11,5,24,0
1,0,1,1,0,0,0,1,12,2,0,2,1,3,14,cs11546703724830454325.png,11,6,71,4
2,0,2,1,2,1,0,0,1,2,1,0,10,0,14,cs11546727786129268174.png,11,5,3,7
1,0,1,4,2,0,1,0,1,2,1,1,1,4,8,cs11546922965428887538.png,11,4,73,7
2,0,1,1,2,1,1,2,10,0,0,1,5,4,7,cs11547667919781605586.png,1,5,101,9
2,0,1,4,2,1,1,2,8,1,1,0,10,4,14,cs11549707159060933781.png,11,6,76,3
2,0,1,2,2,1,1,1,8,2,0,1,8,3,8,cs11554174060485785249.png,11,2,9,4
1,0,1,0,2,1,1,0,8,0,0,2,1,1,13,cs11554238184059325537.png,11,2,79,9
2,0,2,2,1,0,0,0,9,3,1,2,8,0,0,cs11554790334618317829.png,11,0,83,7
2,0,1,4,0,0,1,2,12,2,1,2,10,4,14,cs11555914327205483861.png,11,5,14,9
1,0,1,4,2,0,0,1,9,0,0,2,3,4,5,cs1155866929409332465.png,11,3,66,0
0,0,0,1,2,1,0,0,1,3,1,0,10,2,14,cs11559739446477714722.png,6,0,45,7
1,0,1,3,2,1,1,0,0,0,0,1,1,1,14,cs11559780366199333033.png,11,6,16,9
1,0,0,3,0,1,1,0,4,0,0,1,5,5,14,cs1156184243764443979.png,6,2,86,0
0,0,0,0,0,0,0,0,6,1,1,1,1,3,4,cs11563974342893067557.png,11,0,27,6
1,0,2,1,2,1,0,0,11,2,1,1,3,5,14,cs11564007261930115422.png,11,3,32,3
0,0,1,1,1,0,1,2,1,1,0,1,8,0,14,cs11564279531269953017.png,11,2,97,7
0,0,2,2,1,1,1,2,6,2,1,1,1,0,14,cs11565088689421371213.png,11,3,38,7
1,0,1,3,1,1,1,1,10,2,0,1,3,6,13,cs1156594265245267135.png,11,2,102,6
1,0,1,3,0,0,1,2,7,0,0,1,10,1,14,cs11566733588009053178.png,11,2,93,4
2,0,0,0,0,0,1,2,6,0,0,2,10,5,5,cs11566927267233923996.png,11,3,101,6
2,0,2,2,1,0,1,0,11,0,1,2,1,5,10,cs11568199955415531787.png,11,5,31,3
1,0,1,3,2,0,0,1,10,2,1,1,8,1,9,cs1156885397965446374.png,11,6,67,4
0,0,0,3,1,0,0,2,6,0,0,2,5,6,5,cs11569588993376471525.png,11,4,37,9
0,0,0,2,2,0,0,0,7,1,1,1,8,5,14,cs11570107509747679492.png,11,3,18,7
0,0,0,1,0,0,0,2,6,2,0,2,3,5,12,cs11571286927782139942.png,11,3,24,6
0,0,1,4,2,1,1,0,0,1,0,2,8,1,14,cs11571696437907458728.png,11,1,35,7
1,0,2,0,2,1,1,2,6,0,0,0,10,0,6,cs11571938256912347240.png,11,2,92,9
1,0,0,0,2,1,1,2,12,1,0,0,10,6,14,cs11572078351511873627.png,6,1,78,7
1,0,2,3,1,1,0,0,2,0,0,0,3,2,4,cs11572920917706153863.png,11,0,71,9
0,0,0,4,2,0,1,1,8,3,1,0,1,5,9,cs11572970119969836688.png,11,0,65,7
1,0,1,4,1,0,0,1,6,1,0,0,3,2,14,cs11573307825073516992.png,11,6,50,9
1,0,2,3,1,0,0,1,4,1,0,0,10,5,2,cs11574105850450411699.png,11,6,22,3
0,0,0,0,0,0,1,0,4,3,0,1,1,6,14,cs11575166463471330895.png,11,5,42,7
0,0,1,1,2,0,0,2,11,0,1,0,8,2,14,cs11575253547302612502.png,11,1,34,3
2,0,2,4,0,1,1,0,9,0,0,0,3,4,11,cs1157555169233751659.png,11,1,79,0
0,0,0,4,2,0,1,2,9,2,0,2,3,0,5,cs11577676438302104026.png,11,2,31,0
2,0,1,1,2,1,1,2,9,2,0,1,10,1,13,cs11577860936992167694.png,11,4,64,3
1,0,1,4,1,1,0,0,7,0,0,1,10,1,14,cs11580194254729675896.png,11,3,78,7
0,0,0,1,0,1,1,2,9,1,1,0,3,2,14,cs11583293478671264920.png,11,1,65,0
2,0,1,2,2,1,0,2,11,0,1,1,10,4,13,cs11583381770102162611.png,11,6,7,6
2,0,1,0,1,1,0,0,8,2,1,2,5,3,14,cs11583554916471301743.png,11,6,89,0
0,0,2,1,0,0,1,1,2,2,1,2,8,2,0,cs1158397900918246031.png,11,4,42,6
1,0,1,0,2,0,0,0,6,2,0,1,5,6,10,cs11584945184525228538.png,11,1,110,4
2,0,2,1,0,0,1,2,12,2,1,0,3,4,4,cs11585629334519448554.png,11,3,79,0
1,0,1,1,2,0,1,2,0,3,1,2,10,2,3,cs11587779610746875818.png,11,5,76,6
1,0,1,3,0,0,1,0,1,0,1,0,1,6,14,cs11588258072883403025.png,11,6,8,0
0,0,2,2,0,1,0,2,0,0,1,2,5,5,12,cs11590327745646170689.png,11,1,68,6
2,0,1,3,0,1,0,2,5,3,1,0,10,0,12,cs11592287053009779265.png,11,3,49,3
0,0,2,1,0,1,1,0,7,0,0,0,10,6,9,cs11593086227367135510.png,11,5,58,4
1,0,1,3,1,1,0,2,2,0,1,2,8,2,4,cs1159413845328241795.png,11,0,54,3
1,0,1,1,1,0,0,2,0,3,1,2,5,0,14,cs11594741327093838570.png,1,4,23,6
1,0,0,3,2,1,1,2,5,2,0,0,3,5,14,cs11595447256037610323.png,11,6,13,4
1,0,2,0,2,1,1,0,4,2,1,0,3,1,8,cs11595588323305642096.png,6,4,57,3
2,0,1,2,0,1,1,2,10,3,1,1,5,3,14,cs11597344827719367674.png,1,0,78,7
2,0,2,4,1,0,1,1,0,3,1,2,5,2,14,cs11599741776086529459.png,11,4,19,4
0,0,0,1,2,1,0,2,9,1,1,0,1,2,3,cs11599784049991259950.png,11,2,72,7
0,0,1,1,0,1,1,2,11,0,1,2,1,2,13,cs11600987246534565425.png,11,3,0,4
0,0,1,0,1,1,0,2,3,0,0,1,5,5,8,cs11601030167464725188.png,6,6,100,4
0,0,0,1,2,0,0,1,3,0,1,2,3,0,13,cs11601327272160402527.png,1,2,34,0
2,0,0,2,1,1,1,1,3,2,0,1,10,0,14,cs11601339061705186480.png,11,6,81,4
2,0,1,3,2,1,0,1,3,0,1,2,5,0,14,cs11601968325932318898.png,11,3,16,0
2,0,1,2,1,1,0,2,7,1,1,0,8,1,14,cs1160256842841361325.png,11,6,89,4
1,0,0,0,0,0,1,2,9,2,1,0,8,5,14,cs11604590114037546016.png,11,0,29,0
2,0,1,1,1,0,0,0,13,1,1,0,8,5,14,cs11604592860983530689.png,11,2,39,4
1,0,0,0,2,1,1,1,0,2,1,0,3,0,9,cs11604889932619382434.png,11,4,63,0
2,0,2,0,2,1,1,2,4,2,0,1,3,2,14,cs11604989827723006161.png,11,3,79,7
1,0,1,0,1,0,1,0,8,3,1,1,10,4,5,cs11606029199472562598.png,11,4,55,3
1,0,0,2,1,1,1,0,2,0,0,0,5,5,14,cs11606504258245102906.png,11,4,45,7
1,0,0,4,0,0,1,1,5,2,1,0,3,0,14,cs11606791956358587601.png,11,0,79,0
1,0,2,0,0,1,0,2,4,1,0,2,8,4,14,cs11607410490572394981.png,11,2,32,3
1,0,2,1,0,0,1,1,0,3,0,1,5,3,1,cs11607667332031165291.png,11,1,22,4
2,0,0,0,1,1,1,0,11,0,0,0,8,0,12,cs11611293888243433890.png,1,2,110,9
2,0,0,4,0,0,1,2,9,1,0,0,3,3,0,cs11612259731226531285.png,11,0,90,9
0,0,1,2,0,0,0,0,5,0,0,1,5,4,5,cs11613268708768368212.png,11,1,40,6
1,0,2,0,2,1,0,2,4,0,0,0,1,3,10,cs11613650999133384490.png,11,3,99,3
0,0,1,2,2,1,0,0,12,0,1,2,8,4,14,cs11614346958850843103.png,11,1,89,9
1,0,0,1,0,0,1,1,5,3,1,1,5,5,14,cs11616424175145614395.png,11,5,31,4
2,0,1,0,2,1,0,0,6,1,0,1,8,4,7,cs11617357871561598791.png,11,5,41,4
1,0,2,4,0,1,0,2,1,1,0,0,1,6,6,cs11617754777823675195.png,11,5,110,0
1,0,2,0,0,1,0,1,4,2,1,2,5,3,5,cs11618193212574642882.png,11,6,106,0
2,0,1,0,0,0,1,2,12,1,1,1,8,0,14,cs11618700373448205125.png,11,4,31,9
0,0,0,3,1,0,0,2,10,2,1,2,8,6,3,cs11619785223718773415.png,11,0,72,4
1,0,2,1,2,0,1,2,2,3,1,1,10,3,13,cs11619973415669060796.png,11,4,80,6
1,0,0,4,0,0,0,0,11,0,0,2,3,5,14,cs11620420870136800773.png,1,1,48,0
2,0,1,2,1,0,0,0,4,2,1,0,5,2,10,cs11621009204041797903.png,11,0,32,0
2,0,1,4,2,1,0,0,11,2,1,0,8,2,14,cs11621142807659909577.png,11,4,35,4
0,0,1,0,0,0,1,1,6,2,0,2,8,3,14,cs1162141326049280769.png,11,1,38,0
2,0,1,3,1,1,1,2,0,2,1,0,1,0,14,cs11621726080790226539.png,11,4,9,7
1,0,1,2,1,1,1,1,9,3,0,2,8,0,11,cs11623163918628717150.png,11,5,25,6
1,0,2,0,0,1,0,0,6,2,0,2,10,0,3,cs11623819410659135931.png,11,4,87,3
0,0,0,2,2,0,0,2,3,2,1,1,3,5,6,cs116270769908846912.png,11,2,54,9
1,0,2,1,2,1,1,2,13,3,1,0,10,4,12,cs11630714424292775760.png,11,4,99,4
2,0,0,0,2,1,1,1,4,1,0,0,8,0,14,cs11630982650896461393.png,11,3,54,7
2,0,1,3,0,1,1,1,10,3,1,0,3,1,2,cs11631443993442494426.png,11,1,49,6
1,0,0,1,0,1,0,0,5,0,1,1,8,0,14,cs11634812138155404995.png,6,3,52,3
2,0,2,4,2,1,1,1,3,0,0,1,3,6,2,cs11635416021092458562.png,11,2,65,6
1,0,1,2,2,0,1,1,0,1,1,2,3,2,14,cs11635774523181200141.png,11,4,88,7
1,0,1,1,1,0,0,0,9,3,1,0,3,4,8,cs1163648493699621595.png,6,4,107,0
0,0,1,4,1,0,1,0,1,2,0,2,3,0,14,cs11637064221371917394.png,6,5,89,0
0,0,1,4,0,1,0,0,3,1,1,2,10,3,14,cs11637771098033809635.png,11,2,101,4
2,0,2,4,1,0,0,2,5,0,1,2,8,1,14,cs11638441582862069212.png,11,4,107,3
2,0,2,0,0,1,1,2,11,0,0,2,8,4,14,cs11639069283616656513.png,11,1,87,7
1,0,2,2,2,1,1,2,10,3,1,1,5,3,14,cs11639767937107637957.png,11,4,92,6
0,0,2,0,2,1,0,2,12,0,1,1,8,2,14,cs11639794341469475568.png,11,1,9,9
2,0,0,1,1,1,0,0,1,1,0,2,10,0,0,cs11639981732708394214.png,11,6,11,7
1,0,2,1,0,0,0,1,5,2,1,0,3,2,2,cs11640175058201495419.png,11,6,45,6
2,0,1,4,0,1,0,0,3,1,0,1,10,4,1,cs11641917165043788643.png,11,2,47,3
1,0,1,4,1,1,1,0,4,2,1,1,5,0,3,cs11643194277302016174.png,11,2,83,9
2,0,1,0,2,1,0,0,0,3,1,2,5,5,14,cs11643659240059994801.png,11,1,74,9
0,0,0,0,1,0,1,0,3,2,1,0,1,4,14,cs11644858000526747441.png,11,5,104,7
