chin_length,eye_angle,eye_color,eye_eyebrow_distance,eye_lashes,eye_lid,eye_slant,eyebrow_shape,eyebrow_thickness,eyebrow_weight,eyebrow_width,face_color,face_shape,facial_hair,file_name,glasses,glasses_color,hair,hair_color
2,2,4,1,1,0,1,8,1,1,2,10,4,7,cs10000053986926948907.png,0,3,84,9
0,1,4,1,0,0,0,4,1,1,1,3,2,12,cs10000354665834323549.png,1,4,77,2
0,2,0,2,0,0,0,9,1,0,1,8,3,14,cs10000417372154603123.png,10,0,40,6
0,0,4,2,1,0,2,12,3,1,0,3,6,14,cs10000524080030775394.png,3,1,29,7
1,2,2,1,0,1,0,10,2,0,1,10,6,3,cs10000592242416795426.png,10,0,78,0
1,1,3,2,1,1,1,13,0,1,1,4,4,14,cs10000811708184140319.png,5,0,3,1
2,0,2,0,1,0,0,5,3,1,0,0,3,1,cs10000849938093558363.png,11,2,76,2
1,0,2,1,0,1,2,5,2,1,1,1,4,2,cs10000898984263089511.png,11,6,101,6
0,0,2,0,1,0,2,13,2,1,0,4,6,14,cs10000929944185699864.png,11,0,79,6
2,2,4,1,1,1,0,0,1,0,0,3,3,14,cs10000972928333981659.png,0,6,3,0
1,2,4,1,1,0,0,3,3,1,1,2,2,2,cs10000983636605150156.png,11,0,25,7
2,1,4,0,0,1,1,7,0,1,0,9,4,1,cs10001052814735369802.png,1,3,104,1
0,0,1,0,1,0,0,3,0,1,1,0,1,10,cs10001090780438292563.png,1,0,20,6
0,1,3,1,1,1,1,3,0,1,2,0,5,2,cs10001377950269226539.png,9,6,106,5
2,1,0,0,1,0,2,1,1,1,1,7,5,14,cs10001479193453098026.png,11,4,36,9
1,1,3,2,0,1,0,10,0,1,1,8,1,13,cs1000153765975572825.png,11,5,63,0
2,1,0,2,1,1,1,10,0,1,2,9,3,14,cs10001691874423045519.png,11,0,70,2
0,0,3,1,1,0,2,2,0,0,0,1,3,14,cs10001780933605954465.png,8,0,40,6
1,1,4,0,0,1,1,2,0,0,2,9,5,0,cs1000182539842583649.png,11,5,23,4
1,2,1,0,0,0,1,13,1,0,0,10,5,12,cs10002054988670102311.png,11,1,45,7
1,1,2,1,1,1,1,1,1,1,0,8,2,6,cs10002060197048039955.png,8,4,39,9
2,1,3,1,1,1,0,3,2,1,1,9,6,12,cs10002074130831966240.png,11,2,52,9
0,1,1,2,1,0,0,13,2,0,2,6,5,12,cs10002223281283887553.png,8,4,3,7
2,1,4,2,0,0,2,7,3,1,2,8,5,2,cs10002254186435419367.png,11,1,22,1
2,1,0,2,1,1,1,9,3,0,0,8,0,14,cs10002280131574610864.png,1,1,77,6
1,2,1,0,1,0,0,8,0,1,2,3,2,14,cs10002397183263905210.png,9,2,95,3
0,1,0,1,1,1,2,13,1,0,2,4,2,10,cs10002580278779611648.png,10,4,94,9
0,1,0,1,0,0,0,13,1,0,1,5,5,14,cs10002666825577271487.png,11,1,50,1
0,0,0,1,0,0,2,4,2,0,0,0,5,6,cs10002930376453395152.png,6,4,8,9
0,0,3,0,1,1,1,2,1,0,0,4,1,4,cs10003124970277287666.png,3,3,83,5
1,1,0,0,0,0,0,2,2,0,1,5,3,14,cs10003571127927331234.png,11,2,34,0
0,1,1,0,0,0,1,8,2,1,2,1,1,14,cs10003853515944172307.png,10,0,60,8
2,0,1,0,1,0,0,4,2,0,0,9,6,14,cs10003933009404298309.png,11,5,39,5
